headline,link
धनगढीका नयाँ उम्मेदवारसँग मतदाताका पुरानै माग,https://ekantipur.com/politics/2026/01/27/voters-old-demands-from-dhangadhis-new-candidate-14-20.html
"सुन र अमेरिकी डलरको मूल्य हरेक दिन नयाँ उचाइमा, किन ?",https://ekantipur.com/business/2026/01/27/gold-and-us-dollar-prices-reach-new-highs-every-day-why-43-54.html
समग्रमा ३ लाख ३७ हजार सुरक्षाकर्मी परिचालन गरिँदै,https://ekantipur.com/news/2026/01/27/a-total-of-337000-security-personnel-are-being-mobilized-46-47.html
रोकियो नेपालको यात्रा,https://ekantipur.com/sports/2026/01/27/nepal-trip-halted-14-31.html
बागलुङका ‘ब्रान्ड’ चित्रबहादुर,https://ekantipur.com/politics/2026/01/27/chitra-bahadur-the-brand-of-baglung-03-14.html
"प्रमुख दलहरूले लोपोन्मुख समुदायका उम्मेदवार रोजेनन्, अन्य दलबाट ३ जना",https://ekantipur.com/politics/2026/01/27/major-parties-did-not-select-candidates-from-endangered-communities-3-from-other-parties-55-05.html
लगानी प्रतिबद्धता ५२ प्रतिशतले बढ्यो,https://ekantipur.com/business/2026/01/27/investment-commitments-increased-by-52-percent-48-05.html
राइड सेयरिङ कम्पनी इन्ड्राइभले चालकलाई सुरक्षा तालिम दियो ,https://ekantipur.com/Other/2026/01/22/ride-sharing-company-indrive-provides-safety-training-to-drivers-50-05.html
"गण्डकी, कर्णाली र सुदूरपश्चिमका उच्च पहाडी भूभागमा आंशिक वर्षाको सम्भावना",https://ekantipur.com/news/2026/01/27/possibility-of-partial-rain-in-the-high-hilly-areas-of-gandaki-karnali-and-sudurpaschim-23-30.html
गैंडाको आक्रमणबाट घाइते अशोकको उपचारका क्रममा निधन,https://ekantipur.com/news/2026/01/27/ashok-injured-in-rhino-attack-dies-during-treatment-24-09.html
काठमाडौंस्थित भारतीय दूतावासमा गणतन्त्र दिवस मनाइयो,https://ekantipur.com/news/2026/01/27/republic-day-celebrated-at-the-indian-embassy-in-kathmandu-06-42.html
निर्वाचनमा कुनै पनि सुरक्षा कमजोरी सह्य हुँदैन : महानिरीक्षक अर्याल,https://ekantipur.com/news/2026/01/26/no-security-lapses-will-be-tolerated-in-elections-inspector-general-aryal-22-39.html
"सर्वोच्च अदालतमा विचाराधीन संसद् विघटनको मुद्दामा लिखित जवाफ पेस भए, कहिले हुन्छ सुनुवाइ ?",https://ekantipur.com/news/2026/01/26/when-will-the-supreme-court-hear-the-case-of-dissolution-of-parliament-if-a-written-response-is-submitted-29-00.html
घुन्साका मतदाता फागुन दोस्रो साता गाउँ फर्किने अपेक्षा,https://ekantipur.com/koshi-pradesh/2026/01/26/ghunsa-voters-expected-to-return-to-village-in-second-week-of-falgun-43-46.html
आचारसंहिता उल्लघंन आरोपमा एमाले उम्मेदवार राईलाई मुख्य निर्वाचन अधिकृतको कार्यालयले सचेत गरायो,https://ekantipur.com/koshi-pradesh/2026/01/26/the-chief-electoral-officers-office-has-warned-uml-candidate-rai-for-violating-the-code-of-conduct-10-39.html
पाथीभरामा केवलकार निर्माण रोक्न माग गर्दै धनकुटामा विरोध,https://ekantipur.com/koshi-pradesh/2026/01/26/protest-in-dhankuta-demanding-to-stop-cable-car-construction-in-pathibhara-19-26.html
अनमोल ज्वेलर्सबाट हराएको २० तोला चाँदीसहित एक जना पक्राउ,https://ekantipur.com/koshi-pradesh/2026/01/26/one-arrested-with-20-tolas-of-silver-missing-from-anmol-jewelers-10-59.html
धनकुटा कारागारका कैदीबन्दीको क्षयरोग परीक्षण,https://ekantipur.com/koshi-pradesh/2026/01/25/tuberculosis-testing-of-dhankuta-prison-inmates-57-46.html
संखुवासभामा जिप दुर्घटना : मृतकमध्ये एक जनाको पहिचान खुल्यो [अपडेट],https://ekantipur.com/koshi-pradesh/2026/01/25/jeep-accident-in-sankhuwasabha-identity-of-one-of-the-deceased-revealed-update-51-52.html
सिरहामा पोष्टमार्टमका लागि लगिएको युवतीको शव अस्पतालबाटै गायब,https://ekantipur.com/madhesh-pradesh/2026/01/26/body-of-young-woman-taken-for-postmortem-in-siraha-disappears-from-hospital-38-26.html
रिलायन्स सुगर मिलले चर्को ढुवानी भाडा लिएको किसानको आरोप,https://ekantipur.com/madhesh-pradesh/2026/01/26/farmers-allege-reliance-sugar-mills-charging-exorbitant-transportation-fees-24-27.html
भारतीय महावाणिज्य दूतावासमा गणन्त्र दिवस मनाइयो,https://ekantipur.com/madhesh-pradesh/2026/01/26/republic-day-celebrated-at-the-indian-consulate-general-56-13.html
गोदामबाट ३० लाखको अवैध सामान बरामद,https://ekantipur.com/madhesh-pradesh/2026/01/26/illegal-goods-worth-3-million-seized-from-warehouse-56-05.html
पाँच वर्ष कैद सजाय तोकिएका सिंह पक्राउ,https://ekantipur.com/madhesh-pradesh/2026/01/25/singh-sentenced-to-five-years-in-prison-arrested-35-05.html
त्रिशूली नदी किनारमा गणपति डिलक्सबाट मानव अवशेष भेटियो,https://ekantipur.com/bagmati-pradesh/2026/01/26/human-remains-found-from-ganapati-deluxe-on-the-banks-of-the-trishuli-river-11-36.html
चुरियामाई नजिक डिजेल ट्यांकरमा आगलागी,https://ekantipur.com/bagmati-pradesh/2026/01/26/fire-in-diesel-tanker-near-churiyamai-31-52.html
"रामेछापमा चुनावी दौड: घरदैलोमा उम्मेदवार, एजेन्डाको होड",https://ekantipur.com/bagmati-pradesh/2026/01/26/election-race-in-ramechhap-candidates-go-door-to-door-agendas-clash-21-44.html
सीमा सुरक्षा बैठकमा स्तम्भ संरक्षणदेखि चुनाव सहजीकरणमा चीनको चासो,https://ekantipur.com/bagmati-pradesh/2026/01/26/chinas-interest-in-border-security-meeting-ranges-from-pillar-protection-to-election-facilitation-04-28.html
आलु रोप्न दिनभर खेतबारीमै थाहाका किसान,https://ekantipur.com/bagmati-pradesh/2026/01/26/farmers-spend-all-day-in-the-fields-planting-potatoes-17-16.html
ईन्द्रसरोवरमा गाडी खस्यो,https://ekantipur.com/bagmati-pradesh/2026/01/26/car-falls-into-indrasarovar-21-41.html
स्कुल बसले किच्दा बालिकाको मृत्यु,https://ekantipur.com/gandaki-pradesh/2026/01/26/girl-dies-after-being-hit-by-school-bus-58-28.html
भारतीय बुवा र नेपाली आमाबाट जन्मेका युवकलाई नेपाली नागरिकता,https://ekantipur.com/gandaki-pradesh/2026/01/25/nepali-citizenship-for-a-young-man-born-to-an-indian-father-and-a-nepali-mother-38-51.html
"तनहुँको थर्पुमा भ्यान दुर्घटना, १३ वर्षीया बालिकाको मृत्यु",https://ekantipur.com/gandaki-pradesh/2026/01/25/van-accident-in-tharpu-tanahun-13-year-old-girl-dies-07-07.html
गोरखा नगरपालिका मेयर कप फुटबल प्रतियोगिता सुरु,https://ekantipur.com/gandaki-pradesh/2026/01/24/gorkha-municipality-mayors-cup-football-tournament-begins-36-38.html
लमजुङमा दुईपटक म्याद थपेर निर्वाचन प्रहरी भर्ना,https://ekantipur.com/gandaki-pradesh/2026/01/24/election-police-recruitment-in-lamjung-extended-twice-32-15.html
तनहुँमा मिनी ट्रकको ठक्करबाट पैदल यात्रीको मृत्यु,https://ekantipur.com/gandaki-pradesh/2026/01/24/pedestrian-dies-after-being-hit-by-mini-truck-in-tanahun-08-08.html
अर्थतन्त्रलाई मजबुत बनाउने मुख्य आधार नै स्थानीय उत्पादन : मुख्यमन्त्री आचार्य,https://ekantipur.com/lumbini-pradesh/2026/01/26/local-production-is-the-main-basis-for-strengthening-the-economy-chief-minister-acharya-43-59.html
कान्तिपुरकर्मी पौडेल सम्मानित,https://ekantipur.com/lumbini-pradesh/2026/01/26/kantipur-journalist-poudel-honored-37-21.html
किवी खेतीमा भार्सेलीको आकर्षण,https://ekantipur.com/lumbini-pradesh/2026/01/26/varselis-attraction-to-kiwi-farming-12-01.html
"सहकारीमा ५ दिनदेखि तालाबन्दी, बचत डुब्ने चिन्ता",https://ekantipur.com/lumbini-pradesh/2026/01/26/members-lock-out-cooperatives-fear-savings-will-be-lost-47-23.html
पाल्पामा प्रत्येक वर्ष भेटिन्छन् कुष्ठरोगी,https://ekantipur.com/lumbini-pradesh/2026/01/26/leprosy-patients-are-found-every-year-in-palpa-46-47.html
बर्दिया हुँदै बालेन आज सुदूरपश्चिम जाने,https://ekantipur.com/lumbini-pradesh/2026/01/26/balen-to-sudurpaschim-via-bardiya-today-51-03.html
डोजरले हिउँ पन्छाएर खुलाइयो नाग्म–गमगडी सडक,https://ekantipur.com/karnali-pradesh/2026/01/27/nagam-gamgadi-road-cleared-of-snow-with-dozers-54-15.html
"हिमपातले बाटो बन्द, कसरी फर्किन्छन् मतदाता ?",https://ekantipur.com/karnali-pradesh/2026/01/26/roads-closed-due-to-snowfall-how-will-voters-return-31-24.html
"पोल गाडेको वर्ष बित्यो, बलेन बत्ती",https://ekantipur.com/karnali-pradesh/2026/01/26/a-year-has-passed-since-the-pole-was-buried-but-the-lamp-has-not-been-lit-36-51.html
हिमाली पालिकाका उपाध्यक्ष भन्छन्- 'तराजुले ताैलेझैं समान व्यवहार गरेका छाैं',https://ekantipur.com/karnali-pradesh/2026/01/26/the-vice-chairman-of-the-himali-municipality-says-we-have-treated-each-other-equally-like-the-scales-39-21.html
"जुम्लामा चिसो बढ्यो, फुट्न थाले पानीका पाइप",https://ekantipur.com/karnali-pradesh/2026/01/26/cold-weather-in-jumla-water-pipes-start-bursting-45-55.html
जुम्लामा ४५३ निर्वाचन प्रहरी वैकल्पिक सूचीमा,https://ekantipur.com/karnali-pradesh/2026/01/26/453-election-policemen-in-jumla-on-alternate-list-27-54.html
मेलौलीका विद्यालयमा तीन दिन बिदा,https://ekantipur.com/sudurpaschim-pradesh/2026/01/26/three-day-holiday-for-schools-in-melauli-29-43.html
डडेल्धुरामा कुष्ठरोगसम्बन्धी अन्तर्क्रिया सम्पन्न,https://ekantipur.com/sudurpaschim-pradesh/2026/01/25/leprosy-related-interaction-held-in-dadeldhura-45-51.html
‘भोट बैंक’ नबन्ने भन्दै चुनाव बहिष्कारको चेतावनी,https://ekantipur.com/sudurpaschim-pradesh/2026/01/25/warning-of-election-boycott-saying-it-will-not-become-a-vote-bank-32-54.html
राष्ट्रियसभा निर्वाचन: सुदूरपश्चिमबाट भण्डारी र खाती विजयी,https://ekantipur.com/sudurpaschim-pradesh/2026/01/25/national-assembly-election-bhandari-and-khati-win-from-sudurpaschim-21-11.html
राष्ट्रियसभा निर्वाचनः पालिका र प्रदेशसभाका ४ मतदाता अनुपस्थित,https://ekantipur.com/sudurpaschim-pradesh/2026/01/25/national-assembly-election-4-voters-from-municipal-and-provincial-assemblies-absent-45-41.html
सुदूरपश्चिममा १८ महिला चुनावी मैदानमा,https://ekantipur.com/sudurpaschim-pradesh/2026/01/25/18-women-in-the-fray-in-the-far-west-02-15.html
अब कुनै दलसँग एकता गर्दिनँ : कुलमान घिसिङ,https://ekantipur.com/video/2026/01/12/i-will-not-unite-with-any-party-now-kulman-ghising-25-12.html
दैलेखमा भेटिएको ग्यासको उत्पादन र वितरण कहिलेबाट होला ?,https://ekantipur.com/video/2025/09/04/from-when-will-the-production-and-distribution-of-the-gas-found-in-dailekh-be-00-38.html
तपाईं सीसीटीभीको निगरानीमा हुनुहुन्छ,https://ekantipur.com/video/2025/09/01/how-are-closed-circuit-cameras-monitoring-the-valley-56-34.html
कमजोर पटकथामा अल्झिएको 'माग्ने राजा',https://ekantipur.com/video/2025/08/27/entangled-in-a-weak-screenplay-magne-raja-38-58.html
त्रिवि क्रिकेट मैदानको पुनर्निर्माण सकिँदै,https://ekantipur.com/video/2025/08/08/the-reconstruction-of-the-trivi-cricket-ground-is-being-completed-57-46.html
लुम्बिनी विकास कोषका कर्मचारीहरू किन आन्दोलन गरिरहेका छन् ?,https://ekantipur.com/video/2025/08/05/why-are-lumbini-development-fund-employees-protesting-16-48.html
A Health and Nutrition Knowledge Quiz,https://ekantipur.com/video/2025/08/05/why-are-lumbini-development-fund-employees-protesting-16-48.html
"डलर महँगिँदा के लाभ, कस्तो नोक्सानी ?",https://ekantipur.com/business/2026/01/27/what-are-the-benefits-and-losses-of-the-dollars-appreciation-04-11.html
नेपाली रुपैयाँ निरन्तर कमजोर ,https://ekantipur.com/business/2026/01/27/nepalese-rupee-continues-to-weaken-59-47.html
नेपाली बजारमा चाँदीको कृत्रिम अभाव,https://ekantipur.com/business/2026/01/27/artificial-shortage-of-silver-in-the-nepali-market-57-51.html
नेप्से घट्दा पनि १६.३५ अर्बको सेयर किनबेच,https://ekantipur.com/business/2026/01/27/shares-worth-rs-1635-billion-traded-despite-nepse-decline-53-04.html
यस्तो छ आजका लागि निर्धारण गरिएको विदेशी मुद्राको विनिमयदर,https://ekantipur.com/business/2026/01/27/this-is-the-foreign-currency-exchange-rate-determined-for-today-01-45.html
नेपालगन्जले उठायो १० अर्ब ८८ लाख भन्सार राजस्व,https://ekantipur.com/business/2026/01/26/customs-revenue-collection-of-1088-billion-rupees-01-35.html
लिड्ससँग एभरटनको बराबरी,https://ekantipur.com/sports/2026/01/27/everton-draw-with-leeds-14-36.html
ललितपुर–२१ मा मेयर कप टेबलटेनिस हुने,https://ekantipur.com/sports/2026/01/27/mayors-cup-table-tennis-to-be-held-in-lalitpur-21-20-28.html
चिनियाँ नयाँ वर्षमा मैत्रीपूर्ण फुटबल हुने,https://ekantipur.com/sports/2026/01/27/friendly-football-to-be-held-during-chinese-new-year-19-03.html
सूर्य नेपाल एनपीजीए टुर बर्दिबासमा आजदेखि,https://ekantipur.com/sports/2026/01/27/surya-nepal-npga-tour-in-bardibas-from-today-16-05.html
सुदूरपश्चिम प्रादेशिक क्रिकेट टिम र एसपीएबीच तीनवर्षे प्रायोजन सम्झौता,https://ekantipur.com/sports/2026/01/26/three-year-sponsorship-agreement-between-sudurpaschim-provincial-cricket-team-and-spa-24-18.html
जिके पोखरेलको गीत ‘इन्दिरा’ सार्वजनिक,https://ekantipur.com/entertainment/2026/01/27/zk-pokharels-song-indira-released-12-38.html
'बहुरिया'मा अधिकार खोज्ने सिता,https://ekantipur.com/entertainment/2026/01/26/sita-seeks-power-in-bahuriya-08-25.html
"चलचित्रको विकास, विस्तार र प्रवर्द्धन हुने गरी कानून परिमार्जन हुँदैछ : मन्त्री सिन्हा",https://ekantipur.com/entertainment/2026/01/26/laws-are-being-amended-to-develop-expand-and-promote-films-minister-sinha-50-57.html
बक्स अफिसमा बाजी मार्यो गोबर गणेशले,https://ekantipur.com/entertainment/2026/01/26/balchi-leaving-behind-gifts-and-kindness-20-51.html
"‘रमिताको पिरती’को ट्रेलरमा प्रेम, धोका",https://ekantipur.com/entertainment/2026/01/26/love-betrayal-in-the-trailer-of-ramita-ko-pirati-03-17.html
सकियो ‘इकोज इन द भ्याली– फेस्टिभल अफ म्युजिक’,https://ekantipur.com/entertainment/2026/01/25/echoes-in-the-valley-festival-of-music-ends-09-56.html
इजिप्टमा बालबालिकाको सामाजिक सञ्जाल प्रयोगमा प्रतिबन्धको तयारी,https://ekantipur.com/world/2026/01/26/egypt-prepares-to-ban-childrens-use-of-social-media-43-29.html
मिनियापोलिस आन्दोलनले अमेरिकामा राजनीतिक संकट गहिरिदैं,https://ekantipur.com/world/2026/01/26/minneapolis-protests-deepen-political-crisis-in-america-24-55.html
अमेरिकामा हिमआँधीले १० लाखभन्दा बढी मानिस अन्धकारमा,https://ekantipur.com/world/2026/01/26/blizzard-leaves-more-than-a-million-people-in-the-dark-in-the-us-47-02.html
"फिलिपिन्समा डुंङगा दुर्घटनामा कम्तिमा १५ जनाको मृत्यु , २८ बेपत्ता",https://ekantipur.com/world/2026/01/26/at-least-15-dead-28-missing-in-philippines-boat-accident-01-45.html
वरिष्ठ पत्रकार मार्क टलीको ९० वर्षको उमेरमा निधन,https://ekantipur.com/world/2026/01/25/veteran-journalist-mark-talley-dies-at-90-18-28.html
"५२ प्रतिशत मतदाता युवा, उम्मेदवार भने ३१ प्रतिशत",https://ekantipur.com/feature/2026/01/25/52-percent-of-voters-are-young-31-percent-of-candidates-are-young-46-35.html
दृष्टि फर्कँदा नाचगान गरेर खुसियाली,https://ekantipur.com/feature/2026/01/24/when-you-regain-your-sight-you-dance-and-sing-happily-06-29.html
धानसँगै फल्यो नाम र दाम,https://ekantipur.com/feature/2026/01/22/fame-and-fortune-grew-along-with-rice-46-26.html
शिक्षामा जनता माविको सान,https://ekantipur.com/feature/2026/01/22/janata-mavis-reputation-in-education-07-14.html
त्रिशूलीमा बस तानिरहेका ‘टायर कान्छा’,https://ekantipur.com/feature/2026/01/22/tire-is-small-49-47.html
बडघर छान्न व्यस्त थारु बस्ती,https://ekantipur.com/feature/2026/01/16/rush-to-choose-a-house-in-tharu-settlement-34-10.html
मर्मतपछि काठमाडौं महानगरका सार्वजनिक कुर्सी यथावत् स्थानमै राखिँदै,https://ekantipur.com/national/2026/01/26/kathmandu-metropolitan-citys-public-chairs-are-being-kept-in-their-original-locations-after-repairs-07-06.html
काठमाडौंका दुई स्थानबाट ब्राउनसुगरसहित ४ जना पक्राउ,https://ekantipur.com/national/2026/01/26/4-people-arrested-with-brown-sugar-from-two-locations-in-kathmandu-52-48.html
बाल सुधारगृहमा आगजनी र तोडफोड : सबै बालबिज्याइँकर्तालाई अन्यत्रै सारियो,https://ekantipur.com/national/2026/01/23/arson-and-vandalism-at-juvenile-correctional-home-all-juveniles-transferred-elsewhere-44-22.html
"भक्तपुरको बालसुधार गृहभित्र झडप, ८ जना घाइते",https://ekantipur.com/national/2026/01/23/clashes-inside-bhaktapurs-juvenile-correctional-home-8-injured-58-19.html
नदीको दायाँबायाँ गरिएको निर्माण रोक्का महानगरपालिकाबाट फुकुवा ,https://ekantipur.com/national/2026/01/21/construction-on-both-sides-of-the-river-has-been-suspended-by-the-metropolitan-municipality-01-06.html
उपत्यकाका सार्वजनिक सवारीसाधनमा सीसी क्यामरा जडान सुरु,https://ekantipur.com/national/2026/01/21/installation-of-cctv-cameras-in-public-vehicles-in-the-kathmandu-valley-begins-48-08.html
प्रतिनिधिसभा निर्वाचन २०८२,https://ekantipur.com/national/2026/01/21/installation-of-cctv-cameras-in-public-vehicles-in-the-kathmandu-valley-begins-48-08.html
घोषणापत्रको मूल एजेन्डा : सुशासन र भ्रष्टाचार नियन्त्रण,https://ekantipur.com/opinion/2026/01/27/main-agenda-of-the-manifesto-good-governance-and-corruption-control-30-27.html
राष्ट्रिय सभाको गरिमा जोगाउने समय,https://ekantipur.com/opinion/2026/01/27/time-to-protect-the-dignity-of-the-national-assembly-18-46.html
घोषणापत्रमा आप्रवासनको मुद्दा,https://ekantipur.com/opinion/2026/01/27/the-issue-of-immigration-in-the-manifesto-21-47.html
राजनीतिक चेतको सदुपयोग गर्ने समय,https://ekantipur.com/opinion/2026/01/27/time-to-make-good-use-of-political-awareness-24-00.html
कान्तिपुरका स्तम्भहरु,https://ekantipur.com/opinion/2026/01/27/time-to-make-good-use-of-political-awareness-24-00.html
हाम्रा अन्य प्रकाशनहरु,https://ekantipur.com/opinion/2026/01/27/time-to-make-good-use-of-political-awareness-24-00.html
